0x800000
crt0                        0
main                        0x284
unknown                     0x510
sound                       0x610
dma                         0x944
utility                     0xA38
field                       0xDD4
rng                         0x18B4
video                       0x18FC
bg_update                   0x1BB8
bg_task                     0x1D0C
screen                      0x21AC
asset_entity                0x22D4
sprite                      0x2338
entity                      0x29B8
entity_bounds               0x2B20
sio                         0x2C4C
field_object                0x2C60
player_location             0x3084
actor                       0x3200
gStartMenuState             0x3480
attack                      0x3504
effect                      0x382C
npc                         0x3B14
debug                       0x3CB0
world                       0x4020
fade                        0x4B00
battle/battle_init          0x4F34
battle/battle               0x5864
battle/screendim/screendim  0x6A24
battle/battle_util          0x6A6C
battle/battle_regular       0x6BE8
battle/battle_tutorial1     0x6D44
battle/battle_tutorial2     0x72D0
battle/battle_tutorial3     0x7680
battle/battle_mpstate       0x7828
battle/battle_util2         0x7C2C
enemy_detail                0x9DC4
flag                        0x102DC
main_menu                   0x10414
oam                         0x10A5C
camera                      0x10C24
bg_data_manager             0x10EAC
map                         0x113E4
asset_spritelist            0x12690
asset_bgdata                0x12BF4
text                        0x13560
battle_ui                   0x153C8
custom_screen               0x158EC
pet_status_control          0x17284
transition                  0x174F4
battle_message              0x17884
map_setup                   0x18334
scene                       0x187F4
scene_camera                0x18854
demo                        0x18950
key_item                    0x18C0C
splash                      0x18C94
passcode                    0x18DEC
start_menu                  0x19180
menu/menu                   0x19540
menu/folder                 0x19A38
menu/library                0x1B124
menu/megaman                0x1B8F0
menu/email                  0x1BFC8
menu/item                   0x1C5F0
menu/network                0x1CAF8
menu/save                   0x1E3C4
shop                        0x1E8AC
save                        0x1FADC
pet_battery                 0x1FBCC
game_over                   0x1FF64
chip_trader                 0x200D4
credits                     0x21498
maps/offline/School/exit 0x23D8C
maps/offline/School/anim 0x24018
maps/offline/School/setup 0x24268
maps/offline/School/directory 0x2433C
maps/offline/School/School_Class_5A/setup 0x2470C
maps/offline/School/School_Class_5B/setup 0x25574
maps/offline/School/School_Library/setup 0x25B80
maps/offline/School/School_2F_Hallway/setup 0x26044
maps/offline/School/School_Class_1A/setup 0x26658
maps/offline/School/School_Class_1B/setup 0x26A8C
maps/offline/School/School_AV_Room/setup 0x26EE0
maps/offline/School/School_Infirmary/setup 0x272D8
maps/offline/School/School_1F_Hallway/setup 0x27684
maps/offline/School/School_Cross_Hallway/setup 0x27D1C
maps/offline/School/School_Storage/setup 0x28040
maps/offline/School/School_Staff_Lounge/setup 0x282E0
maps/offline/School/School_Staff_Lounge_Hallway/setup 0x284F8
maps/offline/School/assets 0x28964
maps/offline/ACDC/exit 0x29D5C
maps/offline/ACDC/anim 0x29EE4
maps/offline/ACDC/setup 0x2A514
maps/offline/ACDC/directory 0x2A5F4
maps/offline/ACDC/ACDC_Town/setup 0x2A9C4
maps/offline/ACDC/ACDC_School_Gate/setup 0x2B8E8
maps/offline/ACDC/ACDC_Lan_Living_Room/setup 0x2BF8C
maps/offline/ACDC/ACDC_Lan_Room/setup 0x2CA50
maps/offline/ACDC/ACDC_Mayl_Living_Room/setup 0x2D544
maps/offline/ACDC/ACDC_Mayl_Room/setup 0x2D994
maps/offline/ACDC/ACDC_Dex_Room/setup 0x2DD08
maps/offline/ACDC/ACDC_Yai_Room/setup 0x2E414
